TABLE_NAME	COLUMN_NAME	COLUMN_TYPE	IS_NULLABLE	COLUMN_DEFAULT	COLUMN_COMMENT
AI_GENERATION_HISTORY	ID	bigint	NO	NULL	
AI_GENERATION_HISTORY	TABLE_NAME	varchar(100)	NO	NULL	
AI_GENERATION_HISTORY	DOMAIN	varchar(100)	NO	NULL	
AI_GENERATION_HISTORY	PACKAGE_NAME	varchar(200)	YES	NULL	
AI_GENERATION_HISTORY	OUTPUT_PATH	varchar(500)	YES	NULL	
AI_GENERATION_HISTORY	GENERATED_FILES	text	YES	NULL	
AI_GENERATION_HISTORY	CREATED_AT	datetime	YES	CURRENT_TIMESTAMP	
COMTCADMINISTCODE	ADMINIST_ZONE_SE	char(1)	NO	NULL	행정구역구분
COMTCADMINISTCODE	ADMINIST_ZONE_CODE	varchar(10)	NO	NULL	행정구역코드
COMTCADMINISTCODE	USE_AT	char(1)	NO	NULL	사용여부
COMTCADMINISTCODE	ADMINIST_ZONE_NM	varchar(60)	YES	NULL	행정구역명
COMTCADMINISTCODE	UPPER_ADMINIST_ZONE_CODE	varchar(10)	YES	NULL	상위행정구역코드
COMTCADMINISTCODE	CREAT_DE	char(20)	YES	NULL	생성일
COMTCADMINISTCODE	ABL_DE	char(20)	YES	NULL	폐지일
COMTCADMINISTCODE	FRST_REGIST_PNTTM	datetime	YES	NULL	최초등록시점
COMTCADMINISTCODE	FRST_REGISTER_ID	varchar(20)	YES	NULL	최초등록자ID
COMTCADMINISTCODE	LAST_UPDT_PNTTM	datetime	YES	NULL	최종수정시점
COMTCADMINISTCODE	LAST_UPDUSR_ID	varchar(20)	YES	NULL	최종수정자ID
COMTCADMINISTCODERECPTNLOG	OCCRRNC_DE	char(20)	NO	NULL	발생일
COMTCADMINISTCODERECPTNLOG	ADMINIST_ZONE_SE	char(1)	NO	NULL	행정구역구분
COMTCADMINISTCODERECPTNLOG	ADMINIST_ZONE_CODE	varchar(10)	NO	NULL	행정구역코드
COMTCADMINISTCODERECPTNLOG	OPERT_SN	decimal(10,0)	NO	NULL	작업일련번호
COMTCADMINISTCODERECPTNLOG	CHANGE_SE_CODE	varchar(2)	YES	NULL	변경구분코드
COMTCADMINISTCODERECPTNLOG	PROCESS_SE	varchar(2)	YES	NULL	처리구분
COMTCADMINISTCODERECPTNLOG	ADMINIST_ZONE_NM	varchar(60)	YES	NULL	행정구역명
COMTCADMINISTCODERECPTNLOG	LOWEST_ADMINIST_ZONE_NM	varchar(60)	YES	NULL	최하위행정구역명
COMTCADMINISTCODERECPTNLOG	CTPRVN_CODE	varchar(2)	YES	NULL	시도코드
COMTCADMINISTCODERECPTNLOG	SIGNGU_CODE	varchar(3)	YES	NULL	시군구코드
COMTCADMINISTCODERECPTNLOG	EMD_CODE	varchar(3)	YES	NULL	읍면동코드
COMTCADMINISTCODERECPTNLOG	LI_CODE	varchar(2)	YES	NULL	리코드
COMTCADMINISTCODERECPTNLOG	CREAT_DE	char(20)	YES	NULL	생성일
COMTCADMINISTCODERECPTNLOG	ABL_DE	char(20)	YES	NULL	폐지일
COMTCADMINISTCODERECPTNLOG	ABL_ENNC	char(1)	YES	NULL	폐지유무
COMTCADMINISTCODERECPTNLOG	FRST_REGISTER_ID	varchar(20)	YES	NULL	최초등록자ID
COMTCADMINISTCODERECPTNLOG	FRST_REGIST_PNTTM	datetime	YES	NULL	최초등록시점
COMTCADMINISTCODERECPTNLOG	LAST_UPDUSR_ID	varchar(20)	YES	NULL	최종수정자ID
COMTCADMINISTCODERECPTNLOG	LAST_UPDT_PNTTM	datetime	YES	NULL	최종수정시점
COMTCCMMNCLCODE	CL_CODE	char(3)	NO	NULL	분류코드
COMTCCMMNCLCODE	CL_CODE_NM	varchar(60)	YES	NULL	분류코드명
COMTCCMMNCLCODE	CL_CODE_DC	varchar(200)	YES	NULL	분류코드설명
COMTCCMMNCLCODE	USE_AT	char(1)	YES	NULL	사용여부
COMTCCMMNCLCODE	FRST_REGIST_PNTTM	datetime	YES	NULL	최초등록시점
COMTCCMMNCLCODE	FRST_REGISTER_ID	varchar(20)	YES	NULL	최초등록자ID
COMTCCMMNCLCODE	LAST_UPDT_PNTTM	datetime	YES	NULL	최종수정시점
COMTCCMMNCLCODE	LAST_UPDUSR_ID	varchar(20)	YES	NULL	최종수정자ID
COMTCCMMNCODE	CODE_ID	varchar(6)	NO	NULL	코드ID
COMTCCMMNCODE	CODE_ID_NM	varchar(60)	YES	NULL	코드ID명
COMTCCMMNCODE	CODE_ID_DC	varchar(200)	YES	NULL	코드ID설명
COMTCCMMNCODE	USE_AT	char(1)	YES	NULL	사용여부
COMTCCMMNCODE	CL_CODE	char(3)	YES	NULL	분류코드
COMTCCMMNCODE	FRST_REGIST_PNTTM	datetime	YES	NULL	최초등록시점
COMTCCMMNCODE	FRST_REGISTER_ID	varchar(20)	YES	NULL	최초등록자ID
COMTCCMMNCODE	LAST_UPDT_PNTTM	datetime	YES	NULL	최종수정시점
